"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Moved; within same county!!Estimate","United States!!Moved; within same county!!Margin of Error","United States!!Moved; from different county, same state!!Estimate","United States!!Moved; from different county, same state!!Margin of Error","United States!!Moved; from different  state!!Estimate","United States!!Moved; from different  state!!Margin of Error","United States!!Moved; from abroad!!Estimate","United States!!Moved; from abroad!!Margin of Error","California!!Total!!Estimate","California!!Total!!Margin of Error","California!!Moved; within same county!!Estimate","California!!Moved; within same county!!Margin of Error","California!!Moved; from different county, same state!!Estimate","California!!Moved; from different county, same state!!Margin of Error","California!!Moved; from different  state!!Estimate","California!!Moved; from different  state!!Margin of Error","California!!Moved; from abroad!!Estimate","California!!Moved; from abroad!!Margin of Error"
"        Native","286,445,104","±164,568","5.9%","±0.1","3.1%","±0.1","2.2%","±0.1","0.3%","±0.1","28,143,543","±64,668","6.4%","±0.2","2.6%","±0.1","1.2%","±0.1","0.3%","±0.1"
"        Foreign born","50,191,364","±162,974","6.3%","±0.1","2.3%","±0.1","1.9%","±0.1","3.6%","±0.1","10,895,845","±63,734","5.6%","±0.2","1.7%","±0.1","0.7%","±0.1","2.1%","±0.1"
"            Naturalized U.S. citizen","25,829,861","±113,654","4.1%","±0.1","1.8%","±0.1","1.5%","±0.1","0.4%","±0.1","5,897,448","±46,760","3.8%","±0.2","1.4%","±0.1","0.5%","±0.1","0.3%","±0.1"
"            Not a U.S. citizen","24,361,503","±160,689","8.5%","±0.2","2.8%","±0.1","2.4%","±0.1","7.0%","±0.2","4,998,397","±55,231","7.8%","±0.3","2.1%","±0.1","1.0%","±0.1","4.2%","±0.3"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","280,592,838","±40,130","5.9%","±0.1","3.1%","±0.1","2.2%","±0.1","0.8%","±0.1","32,589,900","±3,623","6.1%","±0.1","2.5%","±0.1","1.1%","±0.1","0.8%","±0.1"
"        Never married","97,616,929","±202,857","8.6%","±0.1","4.9%","±0.1","3.2%","±0.1","1.0%","±0.1","12,600,821","±51,280","8.2%","±0.2","3.7%","±0.1","1.6%","±0.1","0.9%","±0.1"
"        Now married, except separated","134,320,665","±321,950","3.8%","±0.1","1.9%","±0.1","1.7%","±0.1","0.7%","±0.1","15,023,977","±70,296","4.4%","±0.1","1.7%","±0.1","0.8%","±0.1","0.8%","±0.1"
"        Divorced or separated","33,374,184","±129,463","6.7%","±0.1","3.2%","±0.1","2.0%","±0.1","0.4%","±0.1","3,403,322","±43,143","6.9%","±0.3","2.4%","±0.1","0.9%","±0.1","0.5%","±0.1"
"        Widowed","15,281,060","±67,204","4.2%","±0.1","1.8%","±0.1","1.3%","±0.1","0.5%","±0.1","1,561,780","±19,507","4.0%","±0.3","1.4%","±0.2","0.5%","±0.1","0.7%","±0.1"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","235,910,719","±69,861","5.3%","±0.1","2.5%","±0.1","1.9%","±0.1","0.7%","±0.1","27,375,795","±5,474","5.8%","±0.1","2.1%","±0.1","0.9%","±0.1","0.7%","±0.1"
"        Less than high school graduate","23,777,038","±155,013","5.5%","±0.1","2.7%","±0.1","1.1%","±0.1","1.2%","±0.1","4,147,954","±38,850","4.8%","±0.2","1.6%","±0.1","0.4%","±0.1","0.9%","±0.1"
"        High school graduate (includes equivalency)","60,698,932","±181,262","5.3%","±0.1","2.5%","±0.1","1.4%","±0.1","0.6%","±0.1","5,602,709","±46,509","5.6%","±0.2","1.8%","±0.1","0.6%","±0.1","0.7%","±0.1"
"        Some college or associate's degree","64,502,052","±146,358","5.2%","±0.1","2.5%","±0.1","1.7%","±0.1","0.4%","±0.1","7,188,480","±47,994","5.8%","±0.2","1.9%","±0.1","0.8%","±0.1","0.4%","±0.1"
"        Bachelor's degree","52,233,014","±177,628","5.4%","±0.1","2.7%","±0.1","2.4%","±0.1","0.8%","±0.1","6,355,683","±45,943","6.4%","±0.2","2.5%","±0.1","1.3%","±0.1","0.8%","±0.1"
"        Graduate or professional degree","34,699,683","±155,048","5.0%","±0.1","2.4%","±0.1","2.8%","±0.1","0.8%","±0.1","4,080,969","±36,063","6.5%","±0.3","2.8%","±0.2","1.8%","±0.2","0.9%","±0.1"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","",""
"    Population 15 years and over","280,592,838","±40,130","5.9%","±0.1","3.1%","±0.1","2.2%","±0.1","0.8%","±0.1","32,589,900","±3,623","6.1%","±0.1","2.5%","±0.1","1.1%","±0.1","0.8%","±0.1"
"        $1 to $9,999 or loss","31,003,995","±107,280","6.6%","±0.1","4.5%","±0.1","3.1%","±0.1","1.3%","±0.1","3,296,715","±32,482","6.7%","±0.2","3.4%","±0.2","1.4%","±0.1","1.3%","±0.1"
"        $10,000 to $14,999","18,291,047","±88,921","6.3%","±0.1","3.1%","±0.1","2.1%","±0.1","0.8%","±0.1","2,098,465","±29,345","5.8%","±0.4","2.2%","±0.2","1.0%","±0.1","0.8%","±0.1"
"        $15,000 to $24,999","28,505,630","±100,734","6.3%","±0.1","3.1%","±0.1","2.1%","±0.1","0.6%","±0.1","3,055,269","±31,628","5.9%","±0.3","2.3%","±0.1","1.0%","±0.1","0.8%","±0.1"
"        $25,000 to $34,999","26,551,613","±114,060","6.7%","±0.1","3.0%","±0.1","2.2%","±0.1","0.5%","±0.1","2,790,337","±31,129","6.3%","±0.3","2.0%","±0.2","1.1%","±0.1","0.6%","±0.1"
"        $35,000 to $49,999","35,004,471","±108,741","6.5%","±0.1","3.0%","±0.1","2.0%","±0.1","0.4%","±0.1","3,542,218","±31,644","6.4%","±0.3","2.2%","±0.2","1.0%","±0.1","0.4%","±0.1"
"        $50,000 to $64,999","28,515,253","±110,763","6.0%","±0.1","2.9%","±0.1","2.0%","±0.1","0.4%","±0.1","2,784,130","±34,177","6.4%","±0.3","2.3%","±0.2","1.0%","±0.1","0.4%","±0.1"
"        $65,000 to $74,999","13,754,484","±68,120","5.6%","±0.1","2.8%","±0.1","2.1%","±0.1","0.3%","±0.1","1,411,718","±24,082","7.1%","±0.5","2.7%","±0.3","1.2%","±0.2","0.4%","±0.1"
"        $75,000 or more","63,694,808","±185,864","4.7%","±0.1","2.3%","±0.1","2.2%","±0.1","0.4%","±0.1","8,431,934","±47,634","6.2%","±0.2","2.5%","±0.1","1.2%","±0.1","0.4%","±0.1"
"        Median income (dollars)","41,765","±58","37,472","±313","35,613","±322","39,411","±694","22,293","±591","44,349","±337","44,529","±1,529","43,551","±2,555","46,800","±2,594","24,742","±2,016"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","328,787,499","±43,637","5.8%","±0.1","2.6%","±0.1","2.0%","±0.1","0.7%","±0.1","38,324,959","±14,034","6.0%","±0.2","2.2%","±0.1","1.0%","±0.1","0.8%","±0.1"
"        Below 100 percent of the poverty level","39,801,983","±244,177","9.0%","±0.1","4.0%","±0.1","2.5%","±0.1","1.9%","±0.1","4,507,764","±66,759","8.6%","±0.4","3.0%","±0.2","1.2%","±0.1","1.8%","±0.2"
"        100 to 149 percent of the poverty level","23,602,793","±192,903","7.5%","±0.2","3.0%","±0.1","1.9%","±0.1","1.0%","±0.1","2,738,507","±50,228","6.6%","±0.5","1.8%","±0.2","0.7%","±0.1","0.9%","±0.2"
"        At or above 150 percent of the poverty level","265,382,723","±360,854","5.1%","±0.1","2.4%","±0.1","1.9%","±0.1","0.5%","±0.1","31,078,688","±90,128","5.6%","±0.2","2.1%","±0.1","1.0%","±0.1","0.6%","±0.1"
"HOUSING TENURE","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over in housing units","328,250,667","±32,697","5.7%","±0.1","2.6%","±0.1","2.0%","±0.1","0.7%","±0.1","38,146,372","±10,478","5.9%","±0.2","2.1%","±0.1","1.0%","±0.1","0.7%","±0.1"
"        Householder lived in owner-occupied housing units","225,330,802","±543,391","3.0%","±0.1","1.7%","±0.1","1.2%","±0.1","0.3%","±0.1","22,293,368","±106,996","2.9%","±0.1","1.5%","±0.1","0.5%","±0.1","0.4%","±0.1"
"        Householder lived in renter-occupied housing units","102,919,865","±544,666","11.7%","±0.1","4.6%","±0.1","3.7%","±0.1","1.6%","±0.1","15,853,004","±108,433","10.1%","±0.3","3.0%","±0.1","1.7%","±0.1","1.2%","±0.1"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","",""
"    Residence 1 year ago","11.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","13.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
